역코드,역종류,역명,승무소속(주),승무소속(부), 상_하행별 정보(km),상행키로,하행키로,정차시간,상행시간,하행시간,회차여부,표준구배(오르막),표준구배(내리막),최고속도(상행),최고속도(하행),평균속도,회차키로,측선여부,승무교대여부,가동여부
115,일반역,설화명곡,월배승무팀,안심승무팀,-2.675,0,1.2,00:00:00,00:00:00,00:01:50,Y,3,3,75,75,40,0,N,Y,Y
116,일반역,화원,월배승무팀,월배승무팀,-1.453,1.2,1.3,00:00:25,00:01:50,00:01:50,N,2,2,75,75,41.3,0,N,N,Y
117,일반역,대곡,월배승무팀,월배승무팀,-0.19,1.3,1,00:00:25,00:01:50,00:01:40,N,9,0,65,50,36,0,N,Y,Y
118,일반역,진천,월배승무팀,월배승무팀,0.84,1,0.8,00:00:25,00:01:40,00:01:10,N,15,0,65,75,41.1,0,Y,Y,Y
119,일반역,월배,월배승무팀,월배승무팀,1.59,0.8,0.7,00:00:25,00:01:10,00:01:10,N,4.7,0,75,75,36,0,N,N,Y
120,일반역,상인,월배승무팀,월배승무팀,2.34,0.7,0.9,00:00:25,00:01:10,00:01:20,N,12.2,0,65,65,40.5,0,N,N,Y
121,일반역,월촌,월배승무팀,월배승무팀,3.2,0.9,1,00:00:25,00:01:20,00:01:20,N,0,5.2,80,80,45,0,N,N,Y
122,일반역,송현,월배승무팀,월배승무팀,4.19,1,0.8,00:00:25,00:01:20,00:01:15,N,0,10.8,75,75,38.4,0,N,N,Y
123,일반역,서부정류장,월배승무팀,월배승무팀,5.04,0.8,0.8,00:00:25,00:01:15,00:01:15,N,8.7,0,75,75,38.4,0,N,N,Y
124,일반역,대명,월배승무팀,월배승무팀,5.84,0.8,0.8,00:00:25,00:01:15,00:01:10,N,8.5,0,65,75,41.1,0,N,N,Y
125,일반역,안지랑,월배승무팀,월배승무팀,6.59,0.8,0.7,00:00:25,00:01:10,00:01:20,N,11,0,50,65,31.5,0,N,N,Y
126,일반역,현충로,월배승무팀,월배승무팀,7.32,0.7,0.7,00:00:25,00:01:20,00:01:10,N,0,2.9,65,65,36,0,N,Y,Y
127,일반역,영대병원,월배승무팀,월배승무팀,8.05,0.7,0.9,00:00:25,00:01:10,00:01:25,N,0,16.6,50,65,38.1,0,N,N,Y
128,일반역,교대,안심승무팀,안심승무팀,8.89,0.9,0.7,00:00:25,00:01:25,00:01:10,N,0,2,75,80,36,0,Y,Y,Y
129,일반역,명덕1,월배승무팀,월배승무팀,9.65,0.7,0.8,00:00:25,00:01:10,00:01:10,N,0,4.4,75,65,41.1,0,Y,Y,Y
130,일반역,반월당1,월배승무팀,월배승무팀,10.41,0.8,0.7,00:00:25,00:01:10,00:01:10,N,0,5.8,75,75,36,0,N,Y,Y
131,일반역,중앙로,안심승무팀,안심승무팀,11.135,0.7,0.7,00:00:25,00:01:10,00:01:20,N,0,4,65,50,31.5,0,N,N,Y
132,일반역,대구역,안심승무팀,안심승무팀,11.86,0.7,0.8,00:00:25,00:01:20,00:01:15,N,0,2.5,75,65,38.4,0,N,N,Y
133,일반역,칠성시장,안심승무팀,안심승무팀,12.6,0.8,1.2,00:00:25,00:01:15,00:01:35,N,11,0,80,80,45.5,0,N,N,Y
134,일반역,신천,안심승무팀,안심승무팀,13.835,1.2,0.9,00:00:25,00:01:35,00:01:20,N,0,7.3,75,80,40.5,0,N,N,Y
135,일반역,동대구역,안심승무팀,안심승무팀,14.74,0.9,0.9,00:00:25,00:01:20,00:01:10,N,0,4.4,80,80,46.3,0,N,N,Y
136,일반역,동구청,안심승무팀,안심승무팀,15.59,0.9,0.8,00:00:25,00:01:10,00:01:15,N,0,7.8,65,65,38.4,0,N,N,Y
137,일반역,아양교,안심승무팀,안심승무팀,16.425,0.8,1,00:00:25,00:01:15,00:01:40,N,0,4.1,65,75,36,0,N,N,Y
138,일반역,동촌,안심승무팀,안심승무팀,17.47,1,1,00:00:25,00:01:40,00:01:20,N,0,3.7,75,75,45,0,N,N,Y
139,일반역,해안,안심승무팀,안심승무팀,18.39,1,1,00:00:25,00:01:20,00:01:30,N,7.2,0,65,75,40,0,N,N,Y
140,일반역,방촌,월배승무팀,월배승무팀,19.44,1,1.1,00:00:25,00:01:30,00:01:25,N,1,0,75,75,46.6,0,Y,Y,Y
141,일반역,용계,안심승무팀,안심승무팀,20.54,1.1,1.2,00:00:25,00:01:25,00:01:40,N,7.8,0,65,75,43.2,0,N,N,Y
142,일반역,율하,안심승무팀,안심승무팀,21.76,1.2,1.1,00:00:25,00:01:40,00:01:25,N,0,1.1,65,75,46.6,0,N,N,Y
143,일반역,신기,안심승무팀,안심승무팀,22.79,1.1,1,00:00:25,00:01:25,00:01:25,N,0,0,75,75,42.4,0,N,N,Y
144,일반역,반야월,안심승무팀,안심승무팀,23.8,1,1,00:00:25,00:01:25,00:01:20,Y,2.7,0,75,75,45,0,N,Y,Y
145,일반역,각산,안심승무팀,안심승무팀,24.79,1,0.9,00:00:25,00:01:20,00:01:25,N,7.7,0,75,75,38.1,0,N,N,Y
146,일반역,안심,안심승무팀,안심승무팀,25.72,0.9,1.6,00:00:25,00:01:25,00:02:20,Y,0,0,75,75,32,0.6,Y,Y,Y
147,일반역,대구한의대병원,안심승무팀,안심승무팀,27.32,1.6,5.9,00:00:25,00:02:20,00:06:00,N,0,0,75,65,59,0,N,Y,Y
148,일반역,부호,안심승무팀,안심승무팀,33.22,5.9,1.7,00:00:25,00:06:00,00:02:25,N,0,0,75,75,42.4,0,N,Y,Y
149,일반역,하양,안심승무팀,안심승무팀,34.92,1.7,0,00:00:25,00:02:25,00:00:00,Y,0,0,75,65,0,0.6,N,Y,Y
